Id,PredictedSalePrice
1461,111503.59
1462,153657.65
1463,171641.11
1464,195553.03
1465,201745.35
1466,166765.45
1467,184885.48
1468,157906.58
1469,189797.95
1470,117221.42
1471,177916.39
1472,99204.99
1473,94754.3
1474,152061.25
1475,122329.47
1476,355721.7
1477,253434.01
1478,288603.75
1479,270307.28
1480,512430.9
1481,311414.38
1482,207222.55
1483,172936.73
1484,163387.9
1485,180741.36
1486,192323.61
1487,334159.71
1488,226093.95
1489,197182.86
1490,234036.65
1491,186211.01
1492,88140.52
1493,183742.42
1494,291122.92
1495,299760.9
1496,226692.82
1497,183205.1
1498,161903.41
1499,162929.98
1500,158056.65
1501,177524.88
1502,157746.49
1503,288270.32
1504,241768.46
1505,227479.53
1506,193330.21
1507,260855.94
1508,199208.66
1509,156999.23
1510,143183.14
1511,151036.81
1512,179461.0
1513,142528.06
1514,162596.62
1515,197051.44
1516,149221.77
1517,172055.1
1518,129681.04
1519,210548.66
1520,127599.36
1521,128355.1
1522,179750.1
1523,109661.6
1524,119009.14
1525,123105.89
1526,110592.08
1527,106806.54
1528,143423.4
1529,144358.77
1530,187485.79
1531,116833.55
1532,100356.17
1533,142107.33
1534,123308.21
1535,146142.63
1536,105346.01
1537,62042.26
1538,150148.09
1539,184931.59
1540,85472.15
1541,126721.44
1542,132536.17
1543,183271.11
1544,84265.57
1545,114096.48
1546,125807.87
1547,118849.94
1548,128579.13
1549,112804.34
1550,122462.06
1551,112144.42
1552,133969.55
1553,141085.41
1554,123508.37
1555,162195.64
1556,99838.37
1557,102311.34
1558,107037.09
1559,74574.6
1560,130090.21
1561,117994.27
1562,129702.2
1563,118112.62
1564,161514.15
1565,143080.75
1566,232798.77
1567,79816.77
1568,236421.43
1569,127929.58
1570,139177.78
1571,122859.7
1572,142631.35
1573,235829.07
1574,118422.55
1575,233561.3
1576,255348.52
1577,173455.42
1578,154468.28
1579,144104.15
1580,189263.62
1581,153798.79
1582,125807.52
1583,311581.8
1584,222144.71
1585,138189.28
1586,76172.96
1587,107859.81
1588,148332.82
1589,103235.6
1590,137627.52
1591,95298.72
1592,107355.12
1593,128828.36
1594,127798.25
1595,108863.51
1596,226471.69
1597,177793.77
1598,197357.34
1599,161053.97
1600,152647.89
1601,67392.17
1602,112510.31
1603,72648.77
1604,229635.89
1605,237887.45
1606,174446.67
1607,179541.69
1608,208171.0
1609,191032.82
1610,144893.8
1611,135206.49
1612,161360.43
1613,160454.7
1614,124385.46
1615,93018.02
1616,80002.46
1617,94802.41
1618,124964.52
1619,138688.04
1620,158300.97
1621,134232.09
1622,142014.16
1623,269985.21
1624,208183.81
1625,118292.97
1626,170420.79
1627,188911.19
1628,267488.87
1629,170572.46
1630,365434.72
1631,213477.11
1632,240225.69
1633,167523.27
1634,178400.79
1635,171647.56
1636,154410.7
1637,204619.84
1638,197811.3
1639,190000.68
1640,257460.99
1641,182227.95
1642,234041.4
1643,229674.69
1644,227555.73
1645,244842.4
1646,165677.19
1647,159345.07
1648,128069.36
1649,139217.34
1650,115045.13
1651,118993.16
1652,99907.54
1653,103813.22
1654,145777.85
1655,141676.72
1656,141356.19
1657,147837.33
1658,144112.38
1659,129336.31
1660,154651.83
1661,475252.79
1662,412570.46
1663,360679.94
1664,568901.79
1665,289836.6
1666,331156.0
1667,363224.68
1668,320224.55
1669,288188.87
1670,335473.32
1671,273038.84
1672,453932.81
1673,289345.29
1674,239388.97
1675,198134.02
1676,199311.07
1677,221078.9
1678,497413.39
1679,374129.65
1680,325111.31
1681,240042.54
1682,299493.83
1683,195713.89
1684,177859.01
1685,166120.86
1686,167538.57
1687,164800.08
1688,185688.73
1689,188118.76
1690,194519.17
1691,183586.39
1692,246696.35
1693,168258.41
1694,175805.16
1695,164205.27
1696,289305.85
1697,172652.48
1698,377473.94
1699,324320.83
1700,263765.84
1701,278467.71
1702,244294.46
1703,245884.47
1704,272231.6
1705,216880.76
1706,435902.0
1707,210406.29
1708,198160.76
1709,255533.63
1710,211975.61
1711,254621.5
1712,262899.61
1713,273106.26
1714,227621.9
1715,202774.16
1716,183204.1
1717,172533.55
1718,137651.4
1719,198998.92
1720,228086.32
1721,160121.37
1722,123487.0
1723,150051.95
1724,208194.55
1725,234344.47
1726,185539.49
1727,149892.69
1728,172234.21
1729,161723.6
1730,163219.02
1731,118805.45
1732,123353.57
1733,112969.43
1734,117251.87
1735,131638.67
1736,109947.44
1737,334446.5
1738,261780.84
1739,282172.72
1740,231545.54
1741,196269.34
1742,171819.65
1743,181208.63
1744,318489.1
1745,208326.6
1746,204492.53
1747,230295.22
1748,257550.83
1749,143723.38
1750,133020.89
1751,260446.7
1752,120517.43
1753,149245.06
1754,208222.92
1755,162405.11
1756,129274.88
1757,118804.66
1758,140411.29
1759,153452.07
1760,165430.1
1761,157103.62
1762,174899.84
1763,174264.27
1764,113677.88
1765,169610.94
1766,199804.4
1767,240358.76
1768,141877.24
1769,173181.66
1770,153729.53
1771,122079.11
1772,133664.85
1773,125894.43
1774,151574.0
1775,142247.25
1776,122500.82
1777,110089.3
1778,145077.53
1779,118370.4
1780,169453.07
1781,124620.39
1782,88120.83
1783,141373.35
1784,107625.27
1785,121601.67
1786,146290.73
1787,168852.37
1788,66779.97
1789,101961.94
1790,83784.4
1791,187139.81
1792,162320.28
1793,129915.3
1794,160359.71
1795,135119.99
1796,124510.15
1797,120349.74
1798,117569.45
1799,113542.87
1800,119176.84
1801,123526.78
1802,137082.61
1803,148331.71
1804,142502.38
1805,140858.81
1806,138755.33
1807,131843.32
1808,122278.04
1809,116723.09
1810,128503.76
1811,80712.91
1812,93119.45
1813,122303.05
1814,91776.73
1815,61027.26
1816,104887.96
1817,100524.41
1818,138965.05
1819,127487.63
1820,66913.9
1821,114475.99
1822,147802.71
1823,50363.37
1824,127964.92
1825,135602.36
1826,97931.25
1827,98711.44
1828,127189.85
1829,112195.56
1830,141498.08
1831,136663.49
1832,77702.8
1833,133668.12
1834,119973.4
1835,110443.74
1836,120933.29
1837,91005.38
1838,119896.71
1839,107341.57
1840,133921.79
1841,136882.09
1842,96518.14
1843,129953.4
1844,134008.04
1845,138319.32
1846,151440.86
1847,164069.3
1848,54405.41
1849,119284.16
1850,116907.17
1851,148653.74
1852,121762.61
1853,125994.45
1854,164425.22
1855,138277.22
1856,223717.12
1857,158164.64
1858,138917.0
1859,119045.14
1860,152468.76
1861,118405.4
1862,312494.3
1863,296232.13
1864,296250.17
1865,324390.2
1866,295813.48
1867,218360.17
1868,281079.72
1869,202694.67
1870,220892.38
1871,220289.4
1872,166669.23
1873,241665.21
1874,157317.0
1875,207805.44
1876,196467.52
1877,210412.55
1878,197852.03
1879,123126.3
1880,138286.58
1881,246028.72
1882,239786.9
1883,184411.93
1884,199745.18
1885,229667.78
1886,264364.18
1887,215004.36
1888,275488.27
1889,166388.59
1890,115509.76
1891,125264.21
1892,102394.74
1893,126218.37
1894,123595.25
1895,132545.66
1896,130446.49
1897,117903.52
